publishingOrgKey,title,lat,long,nSpecimens
2b8e48b0-812d-11de-86fe-b8a03c50a862,Texas A&M University Biodiversity Research and Teaching Collections,30.60526,-96.35138,732
954e32db-634d-4d5f-908c-3d14c961b097,The University of the West Indies Zoology Museum (UWIZM),10.64116,-61.40032,20186
66522820-055c-11d8-b84e-b8a03c50a862,California Academy of Sciences,37.76985,-122.4661,1068
19456090-b49a-11d8-abeb-b8a03c50a862,Natural History Museum,51.49551,-0.17638,7711
b4640710-8e03-11d8-b956-b8a03c50a862,"Museum of Comparative Zoology, Harvard University",42.37901,-71.11535,9275
ada9d123-ddb4-467d-8891-806ea8d94230,European Nucleotide Archive (EMBL-EBI),52.07941458,0.187821354,498
2e167bb0-4441-11db-9ba2-b8a03c50a862,Yale University Peabody Museum,41.30938,-72.92945,1607
ccd1ddc0-6c21-11de-8224-b8a03c50a862,American Museum of Natural History,40.78086,-73.97357,10135
939ed180-aa7b-11db-8edf-b8a03c50a862,Museum of Southwestern Biology,35.08331,-106.62176,23
69e7f900-ed5b-11dd-ac7e-b8a03c50a862,North Carolina State Museum of Natural Sciences,35.78227,-78.63955,105
8483a1f0-1032-11db-ae00-b8a03c50a862,Florida Museum of Natural History,29.63591,-82.3704,5653
4c415e40-1e21-11de-9e40-a0d6ecebb8bf,GBIF-Sweden,59.36832,18.05267,1113
ff418020-1d67-11d9-8435-b8a03c50a862,Royal Ontario Museum,43.66771,-79.39478,1528
6ea87510-0561-11d8-b851-b8a03c50a862,University of Michigan Museum of Zoology,42.2784,-83.73443,557
3c6ad080-bdbe-11da-ac59-b8a03c50a862,"University of Texas at Austin, Biodiversity Collections",30.3873,-97.72659,189
2cd829bb-b713-433d-99cf-64bef11e5b3e,MNHN - Museum national d'Histoire naturelle,48.84338252,2.363360053,1200
6c147991-c3bf-453d-a778-3bea9a534804,Universidad Industrial de Santander,7.13933,-73.12022,2
bc092ff0-02e4-11dc-991f-b8a03c50a862,"National Museum of Natural History, Smithsonian Institution",38.89133,-77.02579,23343
f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6,Queensland Museum,-27.47392,153.01803,15
b554c320-0560-11d8-b851-b8a03c50a862,University of Kansas Biodiversity Institute,38.95851,-95.24383,1591
9b049850-d958-11da-9047-b8a03c50a862,University of Nebraska State Museum,40.81846,-96.70258,231
c76cf030-2a95-11da-9cc1-b8a03c50a862,Senckenberg,50.1167,8.6833,603
f314b0b0-e3dc-11d9-8d81-b8a03c50a862,University of Oslo,59.92,10.75,217
770c30d2-c2a8-4bb2-8056-6167297cddae,Australian Museum,-33.87393,151.2133,173
352bdfe0-c57b-11dd-a8eb-b8a03c50a862,Texas A&M University Insect Collection,30.61861729,-96.33652012,349
0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,Berkeley Natural History Museums,37.87371,-122.25121,397
b36f3505-f2d9-499f-a669-fa418a127b9d,Western Australian Museum,-31.95,115.862,21
3ead5cf3-2840-482e-bbd9-76380825be63,Natural History Museum Rotterdam,51.91077,4.47241,38
1ef55060-54da-11dd-9d47-b8a03c50a862,University of Connecticut,41.80978,-72.25619,196
478a9e81-e716-42dc-a68d-03487953a32e,Universidad de la Salle,4.59481,-74.07111,4
5ffa575c-fcd4-4583-9611-545f67b04316,"Museum of Biological Diversity, The Ohio State University",9.99714,-83.04398,832
7b8aff00-a9f8-11d8-944b-b8a03c50a862,Field Museum,41.86616,-87.61723,4674
0e2ae538-4332-4f41-bfee-8aa2c693d2a9,Zoologische Staatssammlung München/Staatliche Naturwissenschaftliche Sammlungen Bayerns,48.16582496,11.48105145,27
0674aea0-a7e1-11d8-9534-b8a03c50a862,Staatliche Naturwissenschaftliche Sammlungen Bayerns,48.15,11.5833,231
ff90b050-c256-11db-b71b-b8a03c50a862,Comisión nacional para el conocimiento y uso de la biodiversidad,19.29967,-99.17883,225
a2ef6dd1-8886-48c9-8025-c62bac973cc7,Denver Museum of Nature & Science,39.74745184,-104.9428507,78
2d6267a0-0561-11d8-b851-b8a03c50a862,Natural History Museum of Utah (UMNH),40.76454,-111.85035,145
396d5f30-dea9-11db-8ab4-b8a03c50a862,Naturalis Biodiversity Center,52.16482,4.47515,7154
8cdd9232-84eb-4bad-9d9b-a36910cd524b,Museum and Art Gallery of the Northern Territory,-12.43708,130.83403,43
cf9ceb80-9f3d-11da-b791-b8a03c50a862,Cornell University Museum of Vertebrates,42.47999,-76.45109,246
c49fdf8d-5648-4ae7-b0be-d3d9c67bc755,University of Minnesota Insect Collection,44.95393,-93.07411,116
4205110f-3f0f-40d8-bd0f-2fa71bc827b5,Museu Nacional / UFRJ,-22.90583905,-43.22643234,19
182287da-fe0f-457f-ac06-2b8f4c7680fd,McGill University,45.50436328,-73.57723696,91
c3367060-856b-11d9-8486-b8a03c50a862,"National Institute of Genetics, ROIS",35.11887,138.93833,27
e88c96a3-5884-4e51-a580-e417ca4c9eed,Royal Belgian Institute of Natural Sciences,50.83644235,4.376889465,652
79324e30-d4c7-11d8-bf69-b8a03c50a862,University of Alabama Biodiversity and Systematics,33.2192,-87.54329,3
a41250f0-7c3e-11d8-a19c-b8a03c50a862,Canadian Museum of Nature,45.41322,-75.6891,509
efcf5460-a06a-11d9-8ec2-b8a03c50a862,University of Tennessee - Chattanooga (UTC),35.04576,-85.30111,1
03cb9700-6cee-11d8-922d-b8a03c50a862,University of Alberta Museums,53.52578,-113.52425,14
52c8f620-1816-11da-9544-b8a03c50a862,University of Texas at El Paso Biodiversity Collections,31.7692,-106.50628,5
845f3630-812c-11de-86fe-b8a03c50a862,Milwaukee Public Museum,43.04073,-87.92159,77
c5f7ef70-e233-11d9-a4d6-b8a03c50a862,South African National Biodiversity Institute,-33.98059,18.44312,102
b1b3786f-e9b0-4da6-8472-a21a2d7fe48c,Scripps Institution of Oceanography,32.86804924,-117.2503196,7
acac73b0-055d-11d8-b84f-b8a03c50a862,Museum of Texas Tech University (TTU),-33.58528,-101.87889,2172
23539a57-1347-4dd3-af2a-cf9478563baa,Muséum d'histoire naturelle de la Ville de Genève - MHNG,46,6,5
cc6110c7-f75c-47c8-8931-f7dd3f324777,Royal British Columbia Museum,48.41972,-123.36777,9
ac5e8480-3714-11da-bc2e-b8a03c50a862,Oregon State University,44.56622,-123.2827,12
d073b448-6b80-4364-8c38-18d08b88797f,Universidade Estadual de Campinas - Instituto de Biologia,-22.8198472,-47.06961156,63
8edbbde0-055e-11d8-b850-b8a03c50a862,Museum of Vertebrate Zoology,37.87136,-122.26259,936
58172c10-1dc5-11de-be11-b8a03c50a862,University of Hawaii,21.30155511,-157.8168758,16
5de868a5-e184-4ec2-bfda-7b6d96fc0b1b,University of Kentucky,38.01542,-84.49242,1
d0827e3a-7ce6-4ec5-8cf7-f247d64d6c63,Florida State University Coastal and Marine Laboratory,29.91614,-84.51291,6
9630292c-c8ef-4efa-adda-399638be3b19,"Brigham Young University, Arthropod Collection",39.58876,-111.62109,1
baa8ccb1-8d9d-4940-93a6-2241c8a04ba5,New York State Museum (NYSM),42.64838,-73.76175,3
4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,Museu Paraense Emílio Goeldi,-1.452172974,-48.47710497,27
493fe050-055d-11d8-b84f-b8a03c50a862,Natural History Museum of Los Angeles County,34.01713,-118.28881,607
814cdfb5-d4f8-4453-815f-ea5df98e76bf,Arizona State University Biocollections,33.40091,-111.94994,64
3f3967bf-ecc7-4455-ba89-4e0ab6d6fd3c,University of Bergen,60.38487,5.32853,19
4fd82480-ea1c-11da-8db4-b8a03c50a862,"National Museum of Nature and Science, Japan",35.71633,139.77649,31
e0ce1efd-0221-4edc-bf69-12699d4f238c,Davidson College,35.49924,-80.84481,1
fd0038d0-3e7b-11d9-8439-b8a03c50a862,Illinois Natural History Survey,40.1128,-88.27107,54
ae447c50-b8a8-11d8-92a4-b8a03c50a862,The New York Botanical Garden,40.83655,-73.87604,6898
456058db-f70b-4005-97ad-e08570cf0c56,"Zoological Museum, Natural History Museum of Denmark",55.68733273,12.57708634,56
9c7737c0-359c-11da-9a82-b8a03c50a862,New Brunswick Museum,45.26835,-66.08196,1
c2ecae57-6701-485e-9ebd-5f87b2945cb2,Mississippi Entomological Museum,33.45375627,-88.80112589,5
98dbab03-09e5-4ceb-988e-04f3e803decb,Senckenberg Museum für Naturkunde Görlitz,51.15370304,14.986883,15
1e26a630-7203-11dc-a0d8-b8a03c50a862,"USDA-ARS Pollinating Insect-Biology, Management, Systematics Research",38.88756,-77.03203,164
e1475b95-d1f7-4f3a-9f3e-e681676abb18,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP), Universidade de São Paulo (USP)",-21.16651,-47.85275,43
b3fbef09-563b-4ee2-96c1-4a449def8992,Staatliches Museum für Naturkunde Karlsruhe,48.8041,9.18933,5
80960f60-ad5e-11da-9c37-b8a03c50a862,Western Foundation of Vertebrate Zoology,34.20795,-119.03944,136
5c1a4c27-795a-4294-aecc-46d7176706b7,Universidad del Valle de Guatemala,14.60474,-90.48915,1
609765e0-4ce8-11db-b80e-b8a03c50a862,Sam Noble Oklahoma Museum of Natural History,35.19445,-97.44919,214
121b1f00-66de-484d-9fb3-32bb07585840,FIOCRUZ - Oswaldo Cruz Foundation,-22.87735519,-43.24358136,14
